action_id,entity_id,recommendation_theme,priority,estimated_hours_saved_monthly,expected_value_or_cost_avoidance,confidence,owner_team,next_step,status
ACT0001,ENT001,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P0,34,32565,Medium,Analytics,automate refresh,accepted
ACT0002,ENT002,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P2,93,55898,Directional,Growth,ship dashboard,proposed
ACT0003,ENT003,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P3,23,37424,Medium,Marketing,ship dashboard,needs evidence
ACT0004,ENT004,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P3,84,42737,High,Data engineering,run stakeholder review,accepted
ACT0005,ENT005,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P0,52,34834,Medium,Operations,run stakeholder review,accepted
ACT0006,ENT006,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P3,67,27657,Medium,Marketing,certify metric,needs evidence
ACT0007,ENT007,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P3,61,141192,Medium,Growth,run stakeholder review,accepted
ACT0008,ENT008,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P1,73,128521,High,Data engineering,run stakeholder review,in progress
ACT0009,ENT009,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P3,52,93217,High,Data engineering,certify metric,accepted
ACT0010,ENT010,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P3,89,105893,Directional,Data engineering,ship dashboard,needs evidence
ACT0011,ENT011,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P1,50,8703,High,Analytics,investigate anomaly,needs evidence
ACT0012,ENT012,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P2,7,123787,High,Operations,automate refresh,in progress
ACT0013,ENT013,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P3,62,144870,High,Growth,investigate anomaly,in progress
ACT0014,ENT014,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P2,52,78413,High,Growth,automate refresh,in progress
ACT0015,ENT015,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P1,35,83909,Directional,Growth,certify metric,accepted
ACT0016,ENT016,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P2,94,72533,Medium,Operations,rewrite requirement,needs evidence
ACT0017,ENT017,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P2,6,66539,High,Growth,run stakeholder review,in progress
ACT0018,ENT018,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P2,69,30608,High,Growth,run stakeholder review,proposed
ACT0019,ENT019,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P0,52,34349,Medium,Merchandising,certify metric,in progress
ACT0020,ENT020,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P3,29,29947,Medium,Operations,automate refresh,in progress
ACT0021,ENT021,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P3,75,104157,High,Operations,investigate anomaly,proposed
ACT0022,ENT022,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P3,12,59058,Directional,Growth,certify metric,proposed
ACT0023,ENT023,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P3,33,39950,Medium,Growth,rewrite requirement,in progress
ACT0024,ENT024,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P3,93,62400,Medium,Operations,investigate anomaly,needs evidence
ACT0025,ENT001,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P0,84,13643,Directional,Operations,certify metric,accepted
ACT0026,ENT002,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P1,66,128330,Directional,Merchandising,rewrite requirement,proposed
ACT0027,ENT003,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P1,87,77024,Directional,Merchandising,certify metric,proposed
ACT0028,ENT004,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P3,51,104254,High,Growth,investigate anomaly,accepted
ACT0029,ENT005,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P0,19,63306,High,Growth,automate refresh,needs evidence
ACT0030,ENT006,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P0,84,70978,Medium,Data engineering,run stakeholder review,proposed
ACT0031,ENT007,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P2,33,61475,Directional,Merchandising,run stakeholder review,proposed
ACT0032,ENT008,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P2,74,101057,Directional,Analytics,certify metric,proposed
ACT0033,ENT009,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P3,42,31441,High,Growth,ship dashboard,needs evidence
ACT0034,ENT010,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P1,44,17145,High,Marketing,run stakeholder review,in progress
ACT0035,ENT011,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P3,51,135190,Medium,Merchandising,automate refresh,accepted
ACT0036,ENT012,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P1,89,9546,Medium,Operations,ship dashboard,accepted
ACT0037,ENT013,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P1,26,65531,Directional,Data engineering,run stakeholder review,needs evidence
ACT0038,ENT014,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P2,57,108161,Medium,Marketing,run stakeholder review,proposed
ACT0039,ENT015,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P3,35,93246,Directional,Operations,rewrite requirement,in progress
ACT0040,ENT016,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P1,63,84042,Directional,Merchandising,investigate anomaly,in progress
ACT0041,ENT017,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P2,22,109445,Medium,Analytics,ship dashboard,proposed
ACT0042,ENT018,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P0,81,66941,Directional,Growth,automate refresh,needs evidence
ACT0043,ENT019,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P1,50,99908,High,Growth,run stakeholder review,proposed
ACT0044,ENT020,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P3,88,17258,High,Analytics,investigate anomaly,proposed
ACT0045,ENT021,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P3,69,46641,Directional,Marketing,investigate anomaly,in progress
ACT0046,ENT022,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P2,21,57192,Medium,Operations,investigate anomaly,accepted
ACT0047,ENT023,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P0,63,115826,High,Analytics,automate refresh,proposed
ACT0048,ENT024,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P0,17,85891,Medium,Analytics,automate refresh,in progress
ACT0049,ENT001,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P2,10,129765,Directional,Growth,ship dashboard,accepted
ACT0050,ENT002,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P1,94,110604,Directional,Data engineering,investigate anomaly,in progress
ACT0051,ENT003,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P3,27,41239,Medium,Analytics,rewrite requirement,in progress
ACT0052,ENT004,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P2,17,5028,Directional,Marketing,investigate anomaly,accepted
ACT0053,ENT005,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P3,49,121450,High,Analytics,run stakeholder review,proposed
ACT0054,ENT006,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P0,91,126858,Directional,Merchandising,investigate anomaly,accepted
ACT0055,ENT007,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P2,71,2375,Directional,Operations,certify metric,needs evidence
ACT0056,ENT008,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P3,11,73741,Medium,Analytics,automate refresh,in progress
ACT0057,ENT009,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P0,11,10315,Medium,Analytics,ship dashboard,accepted
ACT0058,ENT010,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P3,24,16821,Directional,Data engineering,automate refresh,in progress
ACT0059,ENT011,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P3,39,65046,Directional,Growth,rewrite requirement,accepted
ACT0060,ENT012,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P2,53,29492,Medium,Operations,run stakeholder review,accepted
ACT0061,ENT013,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P1,78,10968,High,Data engineering,automate refresh,in progress
ACT0062,ENT014,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P0,33,132147,Directional,Data engineering,run stakeholder review,proposed
ACT0063,ENT015,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P0,39,91455,Directional,Operations,investigate anomaly,in progress
ACT0064,ENT016,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P1,47,50528,Medium,Growth,automate refresh,accepted
ACT0065,ENT017,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P2,56,134405,Medium,Analytics,rewrite requirement,needs evidence
ACT0066,ENT018,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P0,18,119678,Medium,Operations,run stakeholder review,needs evidence
ACT0067,ENT019,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P0,77,26591,High,Data engineering,ship dashboard,proposed
ACT0068,ENT020,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P2,27,39887,Medium,Data engineering,automate refresh,accepted
ACT0069,ENT021,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P3,13,44808,Medium,Merchandising,certify metric,in progress
ACT0070,ENT022,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P0,6,67044,High,Data engineering,run stakeholder review,needs evidence
ACT0071,ENT023,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P0,58,41429,Directional,Analytics,investigate anomaly,proposed
ACT0072,ENT024,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P3,61,54990,Directional,Data engineering,certify metric,needs evidence
ACT0073,ENT001,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P2,11,61948,High,Operations,run stakeholder review,proposed
ACT0074,ENT002,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P1,62,73062,High,Analytics,rewrite requirement,accepted
ACT0075,ENT003,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P3,61,103334,Medium,Marketing,ship dashboard,accepted
ACT0076,ENT004,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P0,69,21249,High,Marketing,ship dashboard,proposed
ACT0077,ENT005,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P0,9,15581,Directional,Merchandising,automate refresh,needs evidence
ACT0078,ENT006,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P2,9,104537,Directional,Merchandising,certify metric,needs evidence
ACT0079,ENT007,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P3,61,119257,Directional,Merchandising,ship dashboard,accepted
ACT0080,ENT008,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P2,9,18463,High,Merchandising,ship dashboard,proposed
ACT0081,ENT009,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P2,47,104654,High,Growth,rewrite requirement,in progress
ACT0082,ENT010,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P1,75,139461,Directional,Analytics,run stakeholder review,proposed
ACT0083,ENT011,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P0,25,78938,High,Growth,investigate anomaly,proposed
ACT0084,ENT012,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P2,56,137616,Directional,Growth,rewrite requirement,proposed
ACT0085,ENT013,"Score every campaign by incremental rides per available driver hour, not only acquisition cost.",P3,62,38099,Medium,Marketing,rewrite requirement,accepted
ACT0086,ENT014,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P2,63,23813,Medium,Data engineering,certify metric,proposed
ACT0087,ENT015,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P0,94,54903,Medium,Marketing,automate refresh,in progress
ACT0088,ENT016,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P0,56,51283,Medium,Growth,investigate anomaly,needs evidence
ACT0089,ENT017,"Move inactive riders into behavior-triggered drip sequences after first ride, cancellation, or referral events.",P3,75,37237,Directional,Merchandising,run stakeholder review,needs evidence
ACT0090,ENT018,Shift paid media away from markets where supply saturation blocks conversion into completed rides.,P0,88,44360,Medium,Operations,investigate anomaly,accepted
