requirement_id,stakeholder_group,business_question,required_metric,decision_supported,refresh_cadence,acceptance_test,status
REQ0001,Analytics,How should gross margin change the next operating decision?,gross_margin,improve quality,weekly,sample reconciles,triaged
REQ0002,Merchandising,How should event completeness change the next operating decision?,event_completeness,sequence launch,daily,action owner assigned,in build
REQ0003,Analytics,How should gross margin change the next operating decision?,gross_margin,prioritize roadmap,daily,metric owner approved,validated
REQ0004,Data engineering,How should conversion rate change the next operating decision?,conversion_rate,improve quality,monthly,sample reconciles,blocked
REQ0005,Merchandising,How should repeat purchase change the next operating decision?,repeat_purchase,focus outreach,daily,dashboard explains variance,in build
REQ0006,Data engineering,How should inventory risk change the next operating decision?,inventory_risk,prioritize roadmap,daily,metric owner approved,blocked
REQ0007,Growth,How should repeat purchase change the next operating decision?,repeat_purchase,prioritize roadmap,weekly,SQL check passes,triaged
REQ0008,Operations,How should event completeness change the next operating decision?,event_completeness,sequence launch,near real time,sample reconciles,validated
REQ0009,Data engineering,How should conversion rate change the next operating decision?,conversion_rate,reduce manual work,weekly,dashboard explains variance,in build
REQ0010,Data engineering,How should repeat purchase change the next operating decision?,repeat_purchase,protect margin,daily,metric owner approved,triaged
REQ0011,Marketing,How should conversion rate change the next operating decision?,conversion_rate,focus outreach,monthly,dashboard explains variance,validated
REQ0012,Data engineering,How should repeat purchase change the next operating decision?,repeat_purchase,improve quality,near real time,action owner assigned,in build
REQ0013,Growth,How should conversion rate change the next operating decision?,conversion_rate,reduce manual work,weekly,metric owner approved,in build
REQ0014,Growth,How should conversion rate change the next operating decision?,conversion_rate,improve quality,daily,sample reconciles,in build
REQ0015,Operations,How should roas change the next operating decision?,roas,protect margin,daily,dashboard explains variance,new
REQ0016,Analytics,How should repeat purchase change the next operating decision?,repeat_purchase,focus outreach,near real time,action owner assigned,blocked
REQ0017,Merchandising,How should inventory risk change the next operating decision?,inventory_risk,reduce manual work,weekly,metric owner approved,in build
REQ0018,Marketing,How should inventory risk change the next operating decision?,inventory_risk,improve quality,near real time,action owner assigned,triaged
REQ0019,Marketing,How should conversion rate change the next operating decision?,conversion_rate,sequence launch,daily,metric owner approved,new
