market_id,market,program_id,trigger,cohort,messages_sent,open_rate_pct,click_rate_pct,conversion_rate_pct,holdout_conversion_rate_pct,lift_pct,incremental_rides,estimated_value,deployment_status
MKT-DC,Capital Core,DRIP-FIRST,First ride completion,New rider,5548,49.2,22.4,40.4,36.5,10.6,48,519,Tune copy
MKT-DC,Capital Core,DRIP-CANCEL,Canceled request recovery,At risk,5065,39.0,17.5,36.6,29.7,23.0,60,687,Needs QA
MKT-DC,Capital Core,DRIP-FAVORITE,Favorite driver prompt,Activated,4670,42.4,16.5,35.5,27.8,27.7,59,619,Needs QA
MKT-DC,Capital Core,DRIP-QUIET,Dormant rider winback,Dormant,9780,35.0,14.0,28.1,21.1,33.3,95,1273,Needs QA
MKT-DC,Capital Core,DRIP-REFERRAL,Referral nudge,Advocate,4870,42.0,14.2,29.5,22.5,31.0,48,579,Scale
MKT-BAL,Harbor Commuter,DRIP-FIRST,First ride completion,New rider,4886,48.2,20.4,40.7,30.9,31.7,97,1212,Needs QA
MKT-BAL,Harbor Commuter,DRIP-CANCEL,Canceled request recovery,At risk,8831,41.7,17.2,31.3,23.7,32.1,115,1273,Scale
MKT-BAL,Harbor Commuter,DRIP-FAVORITE,Favorite driver prompt,Activated,11420,41.9,16.6,34.6,29.4,17.7,98,1047,Tune copy
MKT-BAL,Harbor Commuter,DRIP-QUIET,Dormant rider winback,Dormant,6381,34.0,13.5,28.9,21.3,35.8,65,868,Scale
MKT-BAL,Harbor Commuter,DRIP-REFERRAL,Referral nudge,Advocate,2736,41.7,14.4,30.2,26.6,13.7,14,192,Needs QA
MKT-NYC,Metro Outer Boroughs,DRIP-FIRST,First ride completion,New rider,3838,53.3,22.7,35.2,28.0,25.9,63,673,Needs QA
MKT-NYC,Metro Outer Boroughs,DRIP-CANCEL,Canceled request recovery,At risk,1491,45.0,19.0,31.5,25.1,25.9,18,227,Tune copy
MKT-NYC,Metro Outer Boroughs,DRIP-FAVORITE,Favorite driver prompt,Activated,3302,42.4,16.4,33.6,28.5,18.1,27,244,Scale
MKT-NYC,Metro Outer Boroughs,DRIP-QUIET,Dormant rider winback,Dormant,3770,31.6,11.8,26.6,16.9,57.6,43,470,Needs QA
MKT-NYC,Metro Outer Boroughs,DRIP-REFERRAL,Referral nudge,Advocate,2286,38.1,13.2,25.4,18.0,40.9,22,301,Needs QA
MKT-MIA,South Florida Launch,DRIP-FIRST,First ride completion,New rider,4350,53.4,22.0,33.2,29.4,13.1,36,343,Tune copy
MKT-MIA,South Florida Launch,DRIP-CANCEL,Canceled request recovery,At risk,2478,43.2,18.2,32.3,25.3,27.5,31,302,Tune copy
