date,market_id,market,stage,channel_id,channel,channel_group,spend,impressions,new_rider_signups,ride_requests,completed_rides,incremental_rides,incremental_rides_per_100_driver_hours,roi,supply_coverage_pct,rider_repeat_rate_pct
2026-02-01,MKT-DC,Capital Core,Core,paid_search,Paid search,Paid media,1022,63626,310,206,165,77,1.12,0.375,91.0,78.0
2026-02-01,MKT-DC,Capital Core,Core,paid_social,Paid social,Paid media,1449,62629,726,418,340,222,3.22,1.909,91.0,78.0
2026-02-01,MKT-DC,Capital Core,Core,organic_social,Organic social,Organic,94,6711,58,32,25,10,0.15,0.807,91.0,78.0
2026-02-01,MKT-DC,Capital Core,Core,driver_referral,Driver referral,Referral,231,14433,204,88,62,39,0.57,2.387,91.0,78.0
2026-02-01,MKT-DC,Capital Core,Core,rider_referral,Rider referral,Referral,348,20354,297,174,131,83,1.21,4.004,91.0,78.0
2026-02-01,MKT-DC,Capital Core,Core,vehicle_exterior,Vehicle exterior ads,Field marketing,762,38015,433,244,193,94,1.37,1.312,91.0,78.0
2026-02-01,MKT-DC,Capital Core,Core,in_vehicle,In-vehicle cards,Field marketing,417,39145,344,214,154,93,1.35,2.982,91.0,78.0
2026-02-01,MKT-DC,Capital Core,Core,welcome_drip,Welcome drip,Lifecycle,22,1858,10,4,3,1,0.01,-0.182,91.0,78.0
2026-02-01,MKT-DC,Capital Core,Core,winback_drip,Winback drip,Lifecycle,24,1795,18,8,6,2,0.03,0.527,91.0,78.0
2026-02-01,MKT-BAL,Harbor Commuter,Core,paid_search,Paid search,Paid media,942,61620,192,97,79,46,0.71,-0.18,86.0,82.0
2026-02-01,MKT-BAL,Harbor Commuter,Core,paid_social,Paid social,Paid media,1332,85760,316,136,116,78,1.2,-0.001,86.0,82.0
2026-02-01,MKT-BAL,Harbor Commuter,Core,organic_social,Organic social,Organic,80,6565,58,27,17,10,0.15,1.707,86.0,82.0
2026-02-01,MKT-BAL,Harbor Commuter,Core,driver_referral,Driver referral,Referral,192,14687,117,60,42,29,0.45,1.784,86.0,82.0
2026-02-01,MKT-BAL,Harbor Commuter,Core,rider_referral,Rider referral,Referral,215,8253,87,30,19,8,0.12,-0.343,86.0,82.0
2026-02-01,MKT-BAL,Harbor Commuter,Core,vehicle_exterior,Vehicle exterior ads,Field marketing,585,54096,557,274,185,105,1.62,2.257,86.0,82.0
2026-02-01,MKT-BAL,Harbor Commuter,Core,in_vehicle,In-vehicle cards,Field marketing,580,58914,193,99,76,33,0.51,0.151,86.0,82.0
2026-02-01,MKT-BAL,Harbor Commuter,Core,welcome_drip,Welcome drip,Lifecycle,54,2460,14,6,4,1,0.02,-0.616,86.0,82.0
2026-02-01,MKT-BAL,Harbor Commuter,Core,winback_drip,Winback drip,Lifecycle,33,1550,13,5,3,1,0.02,-0.456,86.0,82.0
2026-02-01,MKT-NYC,Metro Outer Boroughs,Scale,paid_search,Paid search,Paid media,1434,128622,1524,827,613,287,14.37,2.488,73.0,69.0
2026-02-01,MKT-NYC,Metro Outer Boroughs,Scale,paid_social,Paid social,Paid media,975,40059,374,196,151,71,3.55,0.583,73.0,69.0
2026-02-01,MKT-NYC,Metro Outer Boroughs,Scale,organic_social,Organic social,Organic,32,2843,19,10,5,2,0.1,0.236,73.0,69.0
2026-02-01,MKT-NYC,Metro Outer Boroughs,Scale,driver_referral,Driver referral,Referral,185,9414,84,48,31,16,0.8,0.763,73.0,69.0
2026-02-01,MKT-NYC,Metro Outer Boroughs,Scale,rider_referral,Rider referral,Referral,157,10254,50,23,13,6,0.3,-0.337,73.0,69.0
2026-02-01,MKT-NYC,Metro Outer Boroughs,Scale,vehicle_exterior,Vehicle exterior ads,Field marketing,955,94113,545,314,248,114,5.71,0.94,73.0,69.0
2026-02-01,MKT-NYC,Metro Outer Boroughs,Scale,in_vehicle,In-vehicle cards,Field marketing,290,26709,145,82,52,29,1.45,1.138,73.0,69.0
2026-02-01,MKT-NYC,Metro Outer Boroughs,Scale,welcome_drip,Welcome drip,Lifecycle,13,728,4,2,1,0,0.0,-1.0,73.0,69.0
2026-02-01,MKT-NYC,Metro Outer Boroughs,Scale,winback_drip,Winback drip,Lifecycle,31,2153,11,4,2,1,0.05,-0.333,73.0,69.0
2026-02-01,MKT-MIA,South Florida Launch,Launch,paid_search,Paid search,Paid media,1021,58297,522,262,177,116,4.61,1.445,62.0,73.0
2026-02-01,MKT-MIA,South Florida Launch,Launch,paid_social,Paid social,Paid media,1320,102662,780,402,259,180,7.16,1.832,62.0,73.0
2026-02-01,MKT-MIA,South Florida Launch,Launch,organic_social,Organic social,Organic,45,3796,17,8,4,2,0.08,-0.081,62.0,73.0
2026-02-01,MKT-MIA,South Florida Launch,Launch,driver_referral,Driver referral,Referral,296,25063,483,171,105,57,2.27,3.213,62.0,73.0
